model,model_short,profile,task_id,run_id,cyclomatic_complexity,max_nesting_depth,function_count,class_count,total_lines,comment_lines,comment_ratio,docstring_count,type_annotation_count,comprehension_count,try_except_count,unique_imports,avg_function_length,parse_error,has_clarifying_questions,explanation_length,code_length,code_to_explanation_ratio,advanced_pattern_count,assumption_count,architectural_sophistication,defensive_coding,idiomatic_density,verbosity_ratio
haiku,haiku,A,task1,1,10,2,4,1,91,4,0.044,5,5,0,0,3,13.25,False,False,958,2987,3.118,4,0,4.15,3.75,2.2,0.3207
haiku,haiku,A,task2,1,4,2,7,2,75,5,0.0667,5,6,0,0,0,7.57,False,False,642,2362,3.6791,0,0,4.9,3.9,1.2,0.2718
haiku,haiku,A,task3,1,30,6,10,1,210,6,0.0286,10,19,4,1,6,17.8,False,False,619,7020,11.3409,13,0,5.9,6.65,9.2,0.0882
haiku,haiku,A,task4,1,16,4,8,1,145,15,0.1034,5,8,0,1,3,11.38,False,False,1340,5068,3.7821,11,0,4.95,5.0,4.6,0.2644
haiku,haiku,A,task5,1,12,2,7,1,116,4,0.0345,7,16,0,2,5,11.43,False,False,1702,4042,2.3749,9,0,5.55,7.0,5.9,0.4211
haiku,haiku,B,task1,1,17,3,8,2,171,9,0.0526,10,9,0,0,4,13.75,False,False,1270,5274,4.1528,9,0,6.0,4.35,4.5,0.2408
haiku,haiku,B,task2,1,5,2,6,2,112,8,0.0714,7,10,0,0,0,14.17,False,False,1310,3473,2.6511,0,0,4.6,4.5,2.0,0.3772
haiku,haiku,B,task3,1,28,5,20,4,279,7,0.0251,25,34,7,1,8,10.7,False,False,1742,9345,5.3645,21,0,8.4,6.8,10.0,0.1864
haiku,haiku,B,task4,1,23,3,12,2,198,11,0.0556,9,18,0,3,4,11.08,False,True,2145,7089,3.3049,22,0,6.6,8.1,6.6,0.3026
haiku,haiku,B,task5,1,15,3,10,2,154,5,0.0325,6,18,0,2,7,10.6,False,False,1469,5140,3.499,12,0,7.35,7.3,6.6,0.2858
haiku,haiku,C,task1,1,13,2,4,2,87,8,0.092,4,8,0,0,4,13.5,False,False,1291,2953,2.2874,4,0,5.0,3.6,2.8,0.4372
haiku,haiku,C,task2,1,4,2,8,2,80,5,0.0625,4,13,0,0,0,7.25,False,False,734,2612,3.5586,0,0,5.2,4.35,2.6,0.281
haiku,haiku,C,task3,1,29,8,14,2,213,7,0.0329,15,13,6,1,7,11.93,False,False,1198,6699,5.5918,18,0,6.35,5.75,8.6,0.1788
haiku,haiku,C,task4,1,25,5,10,2,176,12,0.0682,7,17,2,1,4,10.0,False,False,707,6967,9.8543,18,0,6.2,6.35,7.6,0.1015
haiku,haiku,C,task5,1,10,3,5,0,77,1,0.013,5,13,0,2,4,11.6,False,False,1127,2649,2.3505,7,0,3.9,6.55,4.7,0.4254
sonnet,sonnet,A,task1,1,7,2,8,1,95,1,0.0105,7,10,0,0,2,6.75,False,False,1088,3030,2.7849,12,0,5.1,4.5,5.0,0.3591
sonnet,sonnet,A,task2,1,5,1,6,2,93,5,0.0538,6,10,0,0,0,7.83,False,False,943,2960,3.1389,0,0,4.8,4.5,2.0,0.3186
sonnet,sonnet,A,task3,1,14,2,7,0,159,5,0.0314,0,15,5,0,5,19.14,False,False,426,4390,10.3052,15,0,4.95,2.25,9.0,0.097
sonnet,sonnet,A,task4,1,17,4,11,2,212,26,0.1226,9,27,1,1,5,8.64,False,False,1189,7724,6.4962,13,0,6.65,6.8,7.6,0.1539
sonnet,sonnet,A,task5,1,9,2,5,2,110,5,0.0455,2,10,0,1,4,12.4,False,False,1869,3242,1.7346,12,0,5.3,3.5,5.0,0.5765
sonnet,sonnet,B,task1,1,10,2,6,1,87,4,0.046,6,7,0,0,4,7.67,False,False,1750,2963,1.6931,17,0,5.0,4.05,4.4,0.5906
sonnet,sonnet,B,task2,1,9,2,9,3,107,6,0.0561,4,16,0,0,1,6.22,False,False,1147,3414,2.9765,2,0,6.35,4.8,3.8,0.336
sonnet,sonnet,B,task3,1,24,1,18,1,291,14,0.0481,1,25,9,2,8,11.17,False,False,1630,8849,5.4288,32,0,7.4,5.2,10.0,0.1842
sonnet,sonnet,B,task4,1,11,2,11,1,173,27,0.1561,6,17,4,1,3,6.73,False,False,887,6364,7.1747,6,0,5.95,6.35,7.6,0.1394
sonnet,sonnet,B,task5,1,7,2,5,3,126,6,0.0476,4,12,0,1,5,14.8,False,False,4946,3950,0.7986,16,0,6.15,5.0,5.4,1.2522
sonnet,sonnet,C,task1,1,15,2,6,1,90,3,0.0333,5,7,0,0,3,9.67,False,False,1239,3053,2.4641,10,0,4.75,4.05,4.4,0.4058
sonnet,sonnet,C,task2,1,5,2,7,2,92,5,0.0543,7,12,0,0,0,7.29,False,False,1127,2876,2.5519,0,0,4.9,4.8,2.4,0.3919
sonnet,sonnet,C,task3,1,13,3,10,0,160,11,0.0688,1,11,8,0,4,11.8,False,False,880,4537,5.1557,11,0,5.4,2.25,8.2,0.194
sonnet,sonnet,C,task4,1,9,3,9,1,84,4,0.0476,5,13,0,0,3,4.44,False,False,1249,2984,2.3891,4,0,5.45,4.95,3.8,0.4186
sonnet,sonnet,C,task5,1,11,2,4,2,127,2,0.0157,4,10,0,2,5,21.75,False,False,1634,3346,2.0477,11,0,5.25,5.5,5.0,0.4883
