model,model_short,profile,task_id,run_id,response_length,estimated_tokens,paragraph_count,question_count,hedge_density,unique_entity_count,named_reference_count,cross_domain_count,analytical_depth,challenge_level,register_level,specificity_score,analytical_sophistication,specificity_index,intellectual_engagement,norm_unique_entity_count,norm_named_reference_count,norm_cross_domain_count,norm_question_count
claude-haiku-4,haiku,A,task1,run1,2348,587,6,0,0.17,7,3,2,,,,,,,,1.75,1.5,2.0,0.0
claude-haiku-4,haiku,A,task2,run1,4374,1093,23,0,0.0,19,1,2,,,,,,,,4.75,0.5,2.0,0.0
claude-haiku-4,haiku,A,task3,run1,2286,571,7,0,0.0,22,4,1,,,,,,,,5.0,2.0,1.0,0.0
claude-haiku-4,haiku,A,task4,run1,4726,1181,31,0,0.0,35,7,0,,,,,,,,5.0,3.5,0.0,0.0
claude-haiku-4,haiku,A,task5,run1,3623,905,15,0,0.0,18,2,2,,,,,,,,4.5,1.0,2.0,0.0
claude-haiku-4,haiku,B,task1,run1,1847,461,8,0,0.0,26,7,1,,,,,,,,5.0,3.5,1.0,0.0
claude-haiku-4,haiku,B,task2,run1,3197,799,18,0,0.0,27,4,2,,,,,,,,5.0,2.0,2.0,0.0
claude-haiku-4,haiku,B,task3,run1,1822,455,10,0,0.0,23,4,0,,,,,,,,5.0,2.0,0.0,0.0
claude-haiku-4,haiku,B,task4,run1,2875,718,10,1,0.0,2,3,2,,,,,,,,0.5,1.5,2.0,1.0
claude-haiku-4,haiku,B,task5,run1,2457,614,17,1,0.0,36,2,1,,,,,,,,5.0,1.0,1.0,1.0
claude-haiku-4,haiku,C,task1,run1,1717,429,7,0,0.0,10,4,1,,,,,,,,2.5,2.0,1.0,0.0
claude-haiku-4,haiku,C,task2,run1,2296,574,9,0,0.0,14,7,1,,,,,,,,3.5,3.5,1.0,0.0
claude-haiku-4,haiku,C,task3,run1,1844,461,8,0,0.0,26,3,0,,,,,,,,5.0,1.5,0.0,0.0
claude-haiku-4,haiku,C,task4,run1,2026,506,8,1,0.0,7,0,0,,,,,,,,1.75,0.0,0.0,1.0
claude-haiku-4,haiku,C,task5,run1,2073,518,14,1,0.193,14,3,2,,,,,,,,3.5,1.5,2.0,1.0
claude-haiku-4,haiku,D,task1,run1,2474,618,10,1,0.162,9,9,2,,,,,,,,2.25,4.5,2.0,1.0
claude-haiku-4,haiku,D,task2,run1,4941,1235,21,0,0.081,23,2,5,,,,,,,,5.0,1.0,5.0,0.0
claude-haiku-4,haiku,D,task3,run1,2633,658,10,1,0.0,14,2,0,,,,,,,,3.5,1.0,0.0,1.0
claude-haiku-4,haiku,D,task4,run1,2898,724,9,1,0.0,5,2,1,,,,,,,,1.25,1.0,1.0,1.0
claude-haiku-4,haiku,D,task5,run1,3178,794,11,1,0.0,4,3,4,,,,,,,,1.0,1.5,4.0,1.0
claude-haiku-4,haiku,E,task1,run1,1629,407,7,0,0.0,17,6,1,,,,,,,,4.25,3.0,1.0,0.0
claude-haiku-4,haiku,E,task2,run1,2530,632,14,0,0.0,14,4,2,,,,,,,,3.5,2.0,2.0,0.0
claude-haiku-4,haiku,E,task3,run1,1699,424,8,0,0.0,10,4,0,,,,,,,,2.5,2.0,0.0,0.0
claude-haiku-4,haiku,E,task4,run1,1614,403,9,6,0.0,0,2,0,,,,,,,,0.0,1.0,0.0,5.0
claude-haiku-4,haiku,E,task5,run1,2023,505,10,1,0.198,3,1,1,,,,,,,,0.75,0.5,1.0,1.0
claude-sonnet-4,sonnet,A,task1,run1,3376,844,7,0,0.237,17,10,3,,,,,,,,4.25,5.0,3.0,0.0
claude-sonnet-4,sonnet,A,task2,run1,7055,1763,28,0,0.057,47,6,3,,,,,,,,5.0,3.0,3.0,0.0
claude-sonnet-4,sonnet,A,task3,run1,4447,1111,15,0,0.18,45,9,1,,,,,,,,5.0,4.5,1.0,0.0
claude-sonnet-4,sonnet,A,task4,run1,5400,1350,21,0,0.148,6,6,2,,,,,,,,1.5,3.0,2.0,0.0
claude-sonnet-4,sonnet,A,task5,run1,7232,1808,33,1,0.111,43,2,3,,,,,,,,5.0,1.0,3.0,1.0
claude-sonnet-4,sonnet,B,task1,run1,1777,444,11,0,0.0,26,4,1,,,,,,,,5.0,2.0,1.0,0.0
claude-sonnet-4,sonnet,B,task2,run1,3798,949,17,0,0.0,30,2,2,,,,,,,,5.0,1.0,2.0,0.0
claude-sonnet-4,sonnet,B,task3,run1,2000,500,5,0,0.0,37,3,0,,,,,,,,5.0,1.5,0.0,0.0
claude-sonnet-4,sonnet,B,task4,run1,3476,869,26,0,0.0,15,1,1,,,,,,,,3.75,0.5,1.0,0.0
claude-sonnet-4,sonnet,B,task5,run1,2793,698,15,0,0.0,23,0,3,,,,,,,,5.0,0.0,3.0,0.0
claude-sonnet-4,sonnet,C,task1,run1,1448,362,7,0,0.276,13,6,0,,,,,,,,3.25,3.0,0.0,0.0
claude-sonnet-4,sonnet,C,task2,run1,1907,476,11,0,0.0,9,4,1,,,,,,,,2.25,2.0,1.0,0.0
claude-sonnet-4,sonnet,C,task3,run1,1667,416,11,0,0.0,24,6,0,,,,,,,,5.0,3.0,0.0,0.0
claude-sonnet-4,sonnet,C,task4,run1,1713,428,9,0,0.0,2,2,0,,,,,,,,0.5,1.0,0.0,0.0
claude-sonnet-4,sonnet,C,task5,run1,1780,445,13,0,0.0,16,1,2,,,,,,,,4.0,0.5,2.0,0.0
claude-sonnet-4,sonnet,D,task1,run1,3668,917,13,0,0.0,19,6,3,,,,,,,,4.75,3.0,3.0,0.0
claude-sonnet-4,sonnet,D,task2,run1,6820,1705,34,0,0.059,63,1,3,,,,,,,,5.0,0.5,3.0,0.0
claude-sonnet-4,sonnet,D,task3,run1,3449,862,9,0,0.232,34,8,2,,,,,,,,5.0,4.0,2.0,0.0
claude-sonnet-4,sonnet,D,task4,run1,4971,1242,25,0,0.081,31,7,1,,,,,,,,5.0,3.5,1.0,0.0
claude-sonnet-4,sonnet,D,task5,run1,7329,1832,25,1,0.109,19,3,3,,,,,,,,4.75,1.5,3.0,1.0
claude-sonnet-4,sonnet,E,task1,run1,1781,445,9,0,0.0,6,5,1,,,,,,,,1.5,2.5,1.0,0.0
claude-sonnet-4,sonnet,E,task2,run1,2321,580,17,0,0.0,18,3,0,,,,,,,,4.5,1.5,0.0,0.0
claude-sonnet-4,sonnet,E,task3,run1,2038,509,15,0,0.0,28,4,0,,,,,,,,5.0,2.0,0.0,0.0
claude-sonnet-4,sonnet,E,task4,run1,2327,581,11,0,0.0,1,1,1,,,,,,,,0.25,0.5,1.0,0.0
claude-sonnet-4,sonnet,E,task5,run1,2033,508,10,0,0.0,3,2,1,,,,,,,,0.75,1.0,1.0,0.0
